TIME,GEO,UNIT,PURPOSE,DURATION,PARTNER,Value,Flag and Footnotes
2009,France,Number,"Professional, business",1 night or over,Europe,:,
2009,France,Number,"Professional, business",1 night or over,European Union - 28 countries (2013-2020),:,
2009,France,Number,"Professional, business",From 1 to 3 nights,Europe,:,
2009,France,Number,"Professional, business",From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2009,France,Number,"Professional, business",4 nights or over,Europe,:,
2009,France,Number,"Professional, business",4 nights or over,European Union - 28 countries (2013-2020),:,
2009,France,Number,Visits to friends and relatives,1 night or over,Europe,:,
2009,France,Number,Visits to friends and relatives,1 night or over,European Union - 28 countries (2013-2020),:,
2009,France,Number,Visits to friends and relatives,From 1 to 3 nights,Europe,:,
2009,France,Number,Visits to friends and relatives,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2009,France,Number,Visits to friends and relatives,4 nights or over,Europe,:,
2009,France,Number,Visits to friends and relatives,4 nights or over,European Union - 28 countries (2013-2020),:,
2009,Croatia,Number,Total,1 night or over,Europe,:,
2009,Croatia,Number,Total,1 night or over,European Union - 28 countries (2013-2020),:,
2009,Croatia,Number,Total,From 1 to 3 nights,Europe,:,
2009,Croatia,Number,Total,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2009,Croatia,Number,Total,4 nights or over,Europe,:,
2009,Croatia,Number,Total,4 nights or over,European Union - 28 countries (2013-2020),:,
2009,Croatia,Number,Personal reasons,1 night or over,Europe,:,
2009,Croatia,Number,Personal reasons,1 night or over,European Union - 28 countries (2013-2020),:,
2009,Croatia,Number,Personal reasons,From 1 to 3 nights,Europe,:,
2009,Croatia,Number,Personal reasons,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2009,Croatia,Number,Personal reasons,4 nights or over,Europe,:,
2009,Croatia,Number,Personal reasons,4 nights or over,European Union - 28 countries (2013-2020),:,
2009,Croatia,Number,"Professional, business",1 night or over,Europe,:,
2009,Croatia,Number,"Professional, business",1 night or over,European Union - 28 countries (2013-2020),:,
2009,Croatia,Number,"Professional, business",From 1 to 3 nights,Europe,:,
2009,Croatia,Number,"Professional, business",From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2009,Croatia,Number,"Professional, business",4 nights or over,Europe,:,
2009,Croatia,Number,"Professional, business",4 nights or over,European Union - 28 countries (2013-2020),:,
2009,Croatia,Number,Visits to friends and relatives,1 night or over,Europe,:,
2009,Croatia,Number,Visits to friends and relatives,1 night or over,European Union - 28 countries (2013-2020),:,
